"manufacturer","model","num_flight","num_cancl","r_cancl","num_dely","r_dely","avg_dely"
AIRBUS INDUSTRIE,A319-114,36803,233,0.006291176152932282,11946,0.3245931038230579,4.631823492650056
AIRBUS INDUSTRIE,A319-132,45022,417,0.009177138581394836,18459,0.40999955577273334,6.597196925947315
BOEING,737-3Q8,16949,0,0.0,8766,0.5171986547878931,11.489822408401675
BOEING,737-3T5,6763,0,0.0,3328,0.4920893094780423,10.202424959337572
BOEING,737-3Y0,9536,44,0.004592901878914405,4622,0.48468959731543626,10.63957634228188
BOEING,737-824,92015,0,0.0,37982,0.41278052491441614,9.635157311307939
BOEING,747-2B5F,2153,0,0.0,1023,0.47515095215977704,9.809103576405017
BOEING,757-222,227683,95,4.170727638314499E-4,114448,0.502663791323902,10.510305995616713
BOEING,757-231,2056,1,4.861448711716091E-4,739,0.35943579766536965,9.361867704280156
BOEING,757-33N,8257,0,0.0,4278,0.5181058495821727,13.621775463243308
BOEING,767-33A,5335,0,0.0,1661,0.311340206185567,6.360637300843487
BOEING,767-3P6,1175,23,0.019198664440734557,732,0.6229787234042553,10.062127659574468
BOEING,767-424ER,3222,0,0.0,1222,0.3792675356921167,9.994723774053384
CANADAIR,CL-600-2B19,146638,2738,0.01832958440445587,53087,0.36202757811754116,13.62882745263847
CESSNA,172M,4202,0,0.0,1702,0.40504521656354114,8.915278438838648
CESSNA,210-5(205),2629,0,0.0,942,0.3583111449220236,7.099657664511221
CESSNA,T210N,2708,0,0.0,1015,0.37481536189069425,8.470457902511079
DOUGLAS,DC-9-32,8707,270,0.030076863094575024,2792,0.3206615366946135,7.409900080395085
DOUGLAS,DC-9-41,9981,248,0.024244794212532995,3652,0.3658952008816752,7.839495040577097
EMBRAER,EMB-135LR,92770,0,0.0,35236,0.3798210628435917,11.277395709819984
LEBLANC GLENN T,FALCON XP,2602,0,0.0,986,0.3789392774788624,9.689469638739432
MARZ BARRY,KITFOX IV,2578,0,0.0,990,0.3840186190845617,9.58688906128782
PAIR MIKE E,FALCON XP,396,0,0.0,148,0.37373737373737376,7.608585858585859
PIPER,PA-28-180,4309,14,0.003238491788110109,1522,0.35321420283128335,9.894871199814341
RAVEN,S55A,5505,0,0.0,2072,0.37638510445049955,8.56203451407811
AGUSTA SPA,A109E,448,0,0.0,193,0.43080357142857145,12.779017857142858
AIRBUS,A318-111,13886,130,0.009275114155251141,5607,0.4037879879014835,4.063445196600893
AIRBUS,A320-211,2898,26,0.008891928864569083,1126,0.388543823326432,7.3771566597653555
AIRBUS INDUSTRIE,A330-323,241,0,0.0,173,0.7178423236514523,28.863070539419088
BEECH,65-A90,1432,0,0.0,621,0.433659217877095,10.800279329608939
BOEING,737-3G7,64554,782,0.011968899228602914,26239,0.40646590451405024,9.52805403228305
BOEING,737-4Q8,73583,547,0.007378928908673951,28996,0.39405841023062393,8.54706929589715
BOEING,737-522,112064,64,5.707762557077625E-4,49022,0.43744645916619074,12.252614577384351
BOEING,737-73A,1458,14,0.009510869565217392,438,0.3004115226337449,7.158436213991769
BOEING,737-7BD,17939,125,0.006919840566873339,9016,0.502592117732315,13.224204247728412
BOEING,737-924,15276,0,0.0,6070,0.3973553286200576,8.500785545954438
BOEING,747-422,882,1,0.0011325028312570782,697,0.7902494331065759,28.6156462585034
BOEING,757-223,44431,0,0.0,18661,0.4199995498638338,10.102135896108573
BOEING,757-232,262300,3274,0.012328014037518733,133019,0.5071254288982081,8.121075104841784
BOEING,757-2Q8,8972,3,3.342618384401114E-4,3499,0.38999108337048594,10.524074899687918
BOMBARDIER INC,CL600-2D24,76888,1312,0.016777493606138106,23470,0.3052491936322963,8.891959733638538
CESSNA,182A,952,9,0.009365244536940686,323,0.3392857142857143,5.609243697478991
CESSNA,550,2618,0,0.0,1016,0.38808250572956454,9.76165011459129
EMBRAER,EMB-145LR,439694,0,0.0,179442,0.408106546825747,11.726170927963539
EMBRAER,EMB-145XR,125000,0,0.0,45512,0.364096,9.830296
