"year","manu_year","num_flight","num_cancl","r_cancl","num_dely","r_dely","avg_dely"
1998,1991,190833,1649,0.008567034839621367,90583,0.47467157147872746,8.393983220931391
1998,1997,63850,166,0.0025931017245688576,27261,0.4269537979639781,8.006358653093187
2006,1959,2559,0,0.0,971,0.37944509574052365,11.362250879249707
2006,1965,1262,0,0.0,511,0.40491283676703643,12.646592709984152
2006,1971,1339,31,0.022627737226277374,367,0.27408513816280805,4.6392830470500375
2006,1977,6907,109,0.015535917901938427,2602,0.3767192703054872,9.41320399594614
2006,1983,17860,8,4.4772778150884264E-4,6453,0.3613101903695409,8.66892497200448
2006,1989,138001,959,0.006901266551525619,58113,0.4211056441619988,10.02640560575648
2006,1995,154462,333,0.002151232274944281,64606,0.41826468646010023,9.865947611710324
2006,2001,520251,2447,0.00468147955415938,191839,0.3687431643572045,8.614045912453797
2006,2007,1817,0,0.0,682,0.37534397358282884,10.652724270776005
