"year","carrier","num_flight","num_cancl","r_cancl","num_dely","r_dely","avg_dely"
1998,HP,198592,4479,0.022056325127664707,83654,0.421235497905253,13.909276305188527
2006,DL,498391,7695,0.01520492564504847,194214,0.3896819966652688,8.10541923911146
2006,TZ,19375,227,0.011580450974390368,6651,0.3432774193548387,12.860129032258065
1998,AS,148710,3510,0.023058730784391013,54260,0.3648712258758658,9.258960392710645
1998,US,678816,17214,0.02473169259945692,292143,0.43037141139867063,7.403629260359214
2006,AA,633470,10127,0.01573500187228965,242787,0.3832651901431796,10.698081992833126
2006,B6,155073,659,0.00423162869545116,66549,0.4291462730455979,11.29391318927215
2006,EV,266360,6783,0.024833146007768824,126643,0.47545802673074034,16.412637032587476
2006,NW,428026,4854,0.01121326926630937,151323,0.3535369346721928,7.020613233775518
2006,UA,489770,10238,0.02047567238924177,194995,0.39813585968924187,11.9070257467791
2006,WN,1090370,8951,0.00814229874622608,517791,0.4748764180966094,10.294058897438484
2006,YV,295220,9544,0.03131603470226142,98536,0.3337714247002236,14.248851703814104
1998,DL,898170,16925,0.018495347477584294,410033,0.4565204805326386,7.058377589988532
2006,AQ,34642,745,0.021052929041738493,7606,0.21956007158940016,-0.11281103862363605
2006,CO,307740,1649,0.005329859820484891,126160,0.4099564567492039,11.025950477675961
2006,FL,235704,1941,0.00816764501672663,98200,0.41662424057292197,10.972584258222177
2006,OH,271224,6875,0.024721412158979356,80477,0.2967178420788721,9.382989705925729
1998,AA,639257,14662,0.022421737248802986,248440,0.3886386852236268,7.447696309934815
1998,NW,483242,44270,0.08392226148409894,196653,0.4069451744674511,10.50830018913919
1998,UA,727775,20684,0.027635448301109346,387167,0.5319872213252722,11.727599876335406
1998,WN,806129,8940,0.010968396540660974,310110,0.38469029150421336,9.578391299655515
2006,F9,89279,902,0.010002106873953493,37938,0.4249375553041589,5.0819005589220305
2006,HA,51920,253,0.004849251528568416,7786,0.14996147919876734,-1.2167372881355931
2006,XE,431754,9716,0.0220082904840646,154166,0.35706907173992597,9.89366166845009
1998,CO,392011,7262,0.01818805679322168,152983,0.39025180415855676,8.346283650203693
1998,TW,267510,6563,0.023946174924199027,80231,0.29991776008373516,9.0417704011065
2006,AS,156974,2430,0.015244284961481518,67610,0.43070827015938945,9.387841298558998
2006,MQ,530098,19990,0.036339640203022064,213239,0.40226335507774036,11.460401661579557
2006,OO,535265,12844,0.023433295202231672,212285,0.3965979468113925,8.835886897144405
2006,US,499333,5511,0.010916243433615136,220699,0.4419876114737059,7.890491916216233
