year,lat,long,num_flight,num_cancl,r_cancl,num_dely,r_dely,avg_dely
2006,57.04713806,-135.3615983,1309,17,0.012820513,362,0.276546982,3.889228419
2006,58.67680167,-156.6492175,336,28,0.076923077,207,0.616071429,17.44345238
1998,20.89864972,-156.4304578,3000,11,0.003653271,1105,0.368333333,7.362666667
1998,21.31869111,-157.9224072,11377,191,0.016511065,3949,0.347103806,6.568691219
1998,21.97598306,-159.3389581,203,2,0.009756098,123,0.60591133,9.472906404
1998,26.53616667,-81.75516667,13884,156,0.011111111,5203,0.374747911,6.643546528
1998,31.80666667,-106.3778056,24768,281,0.011218013,8476,0.342215762,7.142562984
1998,32.4466275,-93.82559833,3804,80,0.020597322,986,0.259200841,4.352523659
1998,32.51086556,-92.03768778,2161,27,0.012340037,520,0.240629338,3.499305877
1998,33.43416667,-112.0080556,167943,3058,0.017882936,79148,0.471278946,12.92005026
1998,33.81772222,-118.1516111,3070,48,0.015394484,815,0.265472313,5.705211726
1998,34.6404475,-86.77310944,5761,154,0.026035503,1402,0.243360528,8.344384655
1998,36.77619444,-119.7181389,1132,23,0.01991342,385,0.340106007,4.668727915
1998,37.15151667,-107.7537692,109,1,0.009090909,28,0.256880734,4.055045872
1998,38.17438889,-85.736,23665,452,0.018741966,7853,0.33184027,7.018423833
1998,38.53396333,-106.9331817,222,0,0,82,0.369369369,15.09459459
1998,38.80580556,-104.70025,11841,394,0.032202697,3816,0.322270079,5.571742251
1998,39.71732917,-86.29438417,32942,868,0.025672878,11460,0.34788416,7.524042256
1998,40.19349528,-76.76340361,7500,211,0.027363507,1701,0.2268,3.615866667
1998,40.65236278,-75.44040167,6007,229,0.036722258,1477,0.245879807,3.758781422
1998,41.88458833,-91.71087222,5204,324,0.058610709,1116,0.214450423,4.661029977
1998,41.93887417,-72.68322833,25746,699,0.026432218,9107,0.35372485,5.336634817
1998,42.15991361,-76.89144333,1309,16,0.012075472,316,0.241405653,2.006111536
1998,42.3643475,-71.00517917,94220,4195,0.042625616,39558,0.419847166,9.146731055
1998,42.40260333,-96.38436694,634,53,0.077147016,109,0.17192429,2.757097792
1998,42.7787,-84.58735806,1913,205,0.096789424,455,0.237846315,5.530057501
1998,43.11118694,-76.10631056,10782,363,0.032570659,3336,0.309404563,4.985438694
1998,43.13985778,-89.33751361,4283,330,0.071536961,1347,0.314499183,7.261265468
1998,43.60732417,-110.7377389,1564,41,0.025545171,703,0.449488491,7.992966752
1998,43.87937972,-91.25653778,572,59,0.093502377,68,0.118881119,0.949300699
1998,44.12326,-123.2186856,2248,23,0.010127697,1308,0.581850534,21.37811388
1998,45.77690139,-111.1530072,1863,81,0.041666667,588,0.315619968,6.509393451
1998,56.80165194,-132.9452781,692,34,0.046831956,250,0.361271676,12.18208092
1998,57.74996778,-152.4938553,696,30,0.041322314,246,0.353448276,8.675287356
1998,58.35496194,-134.5762764,4392,87,0.019423979,1681,0.382741348,11.99726776
1998,59.0454125,-158.5033389,389,8,0.020151134,147,0.377892031,7.750642674
1998,60.49183389,-145.4776503,700,20,0.027777778,196,0.28,7.068571429
1998,64.8136775,-147.8596694,5258,132,0.024489796,1375,0.261506276,6.068086725
1998,70.19475583,-148.4651608,486,31,0.059961315,155,0.318930041,10.72222222
2006,26.17583333,-98.23861111,4787,58,0.011971104,1319,0.275537915,7.108418634
2006,28.10275,-80.64580556,2209,53,0.023430592,688,0.311453146,10.05749208
2006,28.42888889,-81.31602778,118126,784,0.006593222,46420,0.392970218,8.810194199
2006,31.25902778,-81.46630556,961,39,0.039,344,0.357960458,11.79292404
