"year","state","num_flight","num_cancl","r_cancl","num_dely","r_dely","avg_dely"
1998,AL,30953,655,0.020722601872943558,10088,0.3259134817303654,6.905114205408199
1998,AZ,185984,3337,0.017626148182187926,85338,0.45884592222986925,12.320430789745355
1998,CT,25746,699,0.026432217810550197,9107,0.3537248504622077,5.336634817058961
1998,GA,257363,5057,0.019270634860147854,141716,0.550646363307857,9.37461484362554
1998,MD,68919,1064,0.015203692325278996,26440,0.38363876434655175,7.66328588633033
1998,NH,9237,227,0.023985629754860523,3293,0.35650102847244775,6.539677384432175
1998,NV,143930,1718,0.01179556190266945,63836,0.44352115611755716,11.357500173695547
1998,WI,21743,1338,0.057969758675967244,5885,0.27066182219564916,5.411442763188153
2006,HI,118320,1225,0.010247187251662553,21847,0.18464334009465855,-0.02491548343475321
2006,MA,127900,3385,0.025783600563659213,47762,0.3734323690383112,10.813158717748241
2006,MO,127678,1840,0.014206519557127194,46169,0.3616049750152728,8.89484484406084
2006,NE,25555,417,0.016055752348683196,8664,0.33903345724907064,8.950772842887888
2006,SD,10862,264,0.023728204206363474,3250,0.29920824894126313,8.255385748480943
2006,VI,3317,41,0.012209648600357356,1083,0.32649984926138076,5.692191739523666
1998,FL,327724,4765,0.014331301185903894,119719,0.3653043414580562,7.640728173707144
1998,KY,106340,2333,0.021468073946610475,42469,0.399369945457965,6.797066014669927
1998,LA,59663,1231,0.02021545636680133,18138,0.30400750884132544,6.228014012034259
1998,ME,7522,188,0.024383916990920882,2072,0.2754586546131348,3.2650890720553045
1998,MS,9168,184,0.019674935842600515,3098,0.3379144851657941,5.234075043630018
1998,VT,2681,57,0.020818115412710007,1069,0.39873181648638567,7.602387168966803
2006,IN,47226,854,0.01776206322795341,14840,0.314233684834625,7.208105704484818
2006,MI,165202,2988,0.017765622212973422,67222,0.40690790668393845,9.517838767085145
2006,NM,36872,392,0.01051953628166595,13682,0.37106747667606854,7.185913430245172
2006,UT,144844,1042,0.007142563371399586,52333,0.3613059567534727,5.648228438872166
1998,CA,624814,16961,0.026428265357796736,274709,0.4396652443767265,10.256601164506558
1998,CO,148258,2782,0.01841896186440678,75706,0.5106368627662589,9.5549447584616
1998,ID,12320,154,0.012345679012345678,4035,0.3275162337662338,7.462337662337663
1998,KS,7239,238,0.031830948241273235,1431,0.19767923746373808,5.699820417184694
1998,MT,10439,482,0.044135152458566064,2997,0.28709646517865695,13.177411629466423
1998,NC,168893,4136,0.023903507504522362,71333,0.4223561663301617,7.018348895454518
1998,NJ,116028,4185,0.034813206558358914,52421,0.45179611817837073,11.167856034750233
1998,PR,19864,411,0.02027127003699137,7367,0.37087192911800243,8.123540072492952
1998,WY,1564,41,0.02554517133956386,703,0.44948849104859334,7.992966751918159
2006,AK,40900,1014,0.024192393949515674,16565,0.4050122249388753,8.50718826405868
2006,AR,30563,765,0.024419050051072522,11149,0.3647874881392533,10.754932434643196
2006,IA,22900,766,0.03236710893264599,7416,0.3238427947598253,9.249257641921398
2006,OK,45090,771,0.016811670046444693,15756,0.3494344644045243,8.497161233089377
2006,OR,73301,697,0.009419173491175437,25894,0.35325575367321044,6.497442053996535
2006,PA,169082,3224,0.018710898053463026,75994,0.44945056244898923,12.974296495191682
2006,RI,26139,439,0.016517420422906163,9334,0.3570909369141895,8.436627261945752
2006,TX,798648,12491,0.015399333529764936,332187,0.4159366829942603,9.777028177620178
2006,WA,123324,1044,0.008394442300270167,52656,0.42697285199961077,9.207477863189647
2006,WV,4830,121,0.02443950717026863,1360,0.2815734989648033,8.547826086956523
1998,IL,332024,10576,0.030869819030939872,164687,0.4960093246271354,11.093225188540588
1998,MN,130296,9921,0.07075461605939365,60132,0.4615030392337447,11.563424817338982
1998,ND,5541,469,0.07803660565723794,1045,0.18859411658545389,3.2109727486013355
1998,NY,198295,6434,0.03142691069657938,72740,0.3668272018961648,7.254212158652512
1998,OH,111453,2882,0.025206629640967333,35708,0.3203861717495267,6.703148412335245
1998,SC,21651,549,0.02472972972972973,7869,0.36344741582374945,6.254168398688282
1998,TN,108742,4583,0.04044120891242003,38896,0.3576906806937522,7.708631439554174
1998,VA,155791,6028,0.03725149704299248,59575,0.382403348075306,6.527893138884788
2006,AL,36583,833,0.02226320290784691,12423,0.3395839597627313,9.437498291556187
2006,AZ,242867,2330,0.009502563245064172,104797,0.4314995450184669,9.015177031049916
2006,CT,32322,561,0.017060487181826477,12180,0.3768331167625766,8.233679846544149
2006,GA,422212,7280,0.01695025751352761,210989,0.4997228880278154,14.131464761778442
2006,MD,106457,1127,0.010475535395597858,45156,0.42417126163615354,9.813671247545958
2006,NA,4692,151,0.03117902126780921,1512,0.32225063938618925,6.425618073316283
2006,NH,20997,263,0.012370649106302917,7495,0.35695575558413106,10.096299471353051
2006,NV,211197,1805,0.008474098834752725,100768,0.47712798950742674,10.780266765152914
2006,WI,49748,1538,0.02998869087080295,15244,0.3064243788695023,9.248090375492483
1998,HI,15309,208,0.013404652961268287,5439,0.355281207133059,7.019139068521785
1998,MA,94240,4197,0.04263640704206752,39567,0.4198535653650255,9.150488115449916
1998,MO,230610,5706,0.02414563550500178,85336,0.3700446641515979,10.062607866094272
1998,NE,19088,368,0.018914473684210526,5885,0.3083088851634535,7.1767078792958925
1998,SD,4725,278,0.055566660003997605,1144,0.24211640211640212,5.922751322751322
1998,VI,3147,57,0.017790262172284643,1028,0.32666031140768986,5.187797902764538
2006,FL,450425,3920,0.008627804861944118,168468,0.37402009213520565,9.20106788033524
2006,KY,152981,2268,0.014608789750658619,47819,0.3125813009458691,6.991332256946941
