"year","manufacturer","model","num_flight","num_cancl","r_cancl","num_dely","r_dely","avg_dely"
2006,BOEING,757-2G7,1894,24,0.01251303441084463,1059,0.5591341077085533,12.626715945089757
2006,BOEING,757-2S7,4010,65,0.015950920245398775,2324,0.5795511221945138,13.714713216957605
2006,BOEING,767-223,9758,0,0.0,3327,0.3409510145521623,8.856015576962493
2006,BOEING,767-322,17466,14,8.009153318077803E-4,6257,0.35823886407878164,8.560574831100423
2006,BOEING,767-3G5,2032,0,0.0,738,0.3631889763779528,7.3420275590551185
2006,BOEING,777-222,11770,9,7.640716529416758E-4,4906,0.41682242990654206,9.827782497875956
2006,BOMBARDIER INC,CL-600-2C10,256719,2628,0.010133142083771935,119063,0.4637872537677383,15.29872350702519
2006,MCDONNELL DOUGLAS,DC-9-82(MD-82),189645,0,0.0,70247,0.37041314034116374,10.354251364391363
2006,MCDONNELL DOUGLAS,MD-90-30,22091,269,0.0120304114490161,6037,0.2732787107871984,4.734597800009054
2006,MORSE GEORGE JR,F85P-1,720,0,0.0,273,0.37916666666666665,11.181944444444444
1998,AERO COMMANDER,690A,147,0,0.0,62,0.4217687074829932,9.537414965986395
1998,AIRBUS INDUSTRIE,A319-131,11930,8,6.701289998324678E-4,6012,0.5039396479463537,7.862531433361274
1998,AIRBUS INDUSTRIE,A320-232,56641,196,0.0034484578707532063,30702,0.5420455147331439,10.767765399622181
1998,BEECH,60,1306,0,0.0,474,0.36294027565084225,6.234303215926493
1998,BELL,206B,1335,0,0.0,496,0.37153558052434454,5.788014981273408
1998,BOEING,737-322,122097,116,9.491625277180005E-4,64064,0.5246975765170315,13.527146449134705
1998,BOEING,737-490,20437,0,0.0,7809,0.38210109115819346,9.239418701374957
1998,BOEING,737-724,4622,0,0.0,2017,0.43639117265253136,9.85179575941151
1998,BOEING,737-832,814,10,0.012135922330097087,550,0.6756756756756757,15.058968058968059
1998,BOEING,757-212,5562,112,0.01973916108565386,3515,0.6319669183746853,9.400215749730313
1998,CESSNA,421C,2555,0,0.0,913,0.3573385518590998,5.054011741682975
1998,DOUGLAS,DC-9-31,41175,1512,0.03542061986084757,14319,0.34775956284153003,8.078615664845174
1998,FREDERICK CHRIS K,FALCON-XP,1327,0,0.0,508,0.38281838733986434,7.7611152976639035
1998,HELIO,HST-550,1385,0,0.0,587,0.42382671480144407,6.79783393501805
1998,MCDONNELL DOUGLAS,DC-9-51,57289,1876,0.03170793543480098,23806,0.4155422506938505,10.688177486079352
1998,MCDONNELL DOUGLAS AIRCRAFT CO,MD 83,3413,0,0.0,1227,0.3595077644301201,9.919425725168473
1998,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88,216478,3653,0.016594664086384926,97331,0.4496115078668502,6.254363029961474
1998,PIPER,PA-31-350,1280,0,0.0,465,0.36328125,5.74140625
1998,PIPER,PA-32RT-300,127,0,0.0,65,0.5118110236220472,11.921259842519685
2006,AIRBUS,A319-112,8265,96,0.011481880157875853,3555,0.4301270417422868,5.53708408953418
2006,AIRBUS INDUSTRIE,A319-111,4940,49,0.009821607536580478,2213,0.4479757085020243,6.175101214574899
2006,AIRBUS INDUSTRIE,A320-212,53753,286,0.005292473953996188,21563,0.4011497032723755,8.082674455379234
2006,AIRBUS INDUSTRIE,A321-211,11646,0,0.0,6289,0.5400137386227031,9.45414734672849
2006,BEECH,C90,1321,0,0.0,489,0.37017411052233157,10.358062074186222
2006,BOEING,737-230,2368,6,0.002527379949452401,397,0.16765202702702703,-2.1330236486486487
2006,BOEING,737-236,4477,19,0.004225978647686833,939,0.20973866428411883,-0.8105874469510833
2006,BOEING,737-282C,6,0,0.0,0,0.0,-5.166666666666667
2006,BOEING,737-317,10108,0,0.0,5250,0.5193905817174516,11.580925999208548
2006,BOEING,737-33A,6537,76,0.011492514743686677,2778,0.42496558054153283,8.467492733669879
2006,BOEING,737-3S3,6753,74,0.010839314486597335,2852,0.4223308159336591,7.5156226862135345
2006,BOEING,737-401,21325,0,0.0,9192,0.43104337631887457,7.5399296600234464
2006,BOEING,737-4B7,37168,0,0.0,16071,0.43238807576409816,7.944118596642273
2006,BOEING,737-524,72136,0,0.0,27559,0.38204225352112675,12.8229039591882
2006,BOEING,737-7H4,54877,0,0.0,25634,0.46711737157643457,10.20873954480019
2006,BOEING,737-890,7515,26,0.0034478185916987135,3654,0.48622754491017967,10.428343313373254
2006,BOEING,747-451,22,0,0.0,14,0.6363636363636364,19.772727272727273
2006,BOEING,757-225,5778,44,0.007557540364136035,3338,0.5777085496711665,12.358601592246453
2006,BOEING,757-2B7,5391,0,0.0,2955,0.5481357818586533,11.405490632535708
2006,BOEING,757-324,10089,0,0.0,4976,0.49321042719793834,12.524928139557934
2006,BOEING,757-351,20612,62,0.002998935861468511,7698,0.37347176402095866,7.211818358237919
2006,BOEING,767-224,2045,0,0.0,1109,0.5422982885085574,11.577506112469438
2006,BOEING,767-323,6630,0,0.0,2457,0.37058823529411766,10.445852187028658
2006,BOEING,767-332,25580,120,0.004669260700389105,12113,0.4735340109460516,9.578498827208756
2006,BOEING,777-232,579,7,0.011945392491467578,455,0.7858376511226253,21.6580310880829
2006,CESSNA,150,1258,0,0.0,507,0.4030206677265501,12.706677265500796
2006,DEHAVILLAND,OTTER DHC-3,1301,0,0.0,464,0.3566487317448117,10.062259800153727
2006,MCDONNELL DOUGLAS,DC-9-31,1558,35,0.02197112366603892,458,0.2939666238767651,4.839537869062901
2006,MCDONNELL DOUGLAS CORPORATION,MD-88,25080,761,0.02944932471653574,8303,0.33106060606060606,7.591228070175439
2006,PIPER,PA-32R-300,1298,0,0.0,524,0.4036979969183359,11.63482280431433
1998,AIRBUS INDUSTRIE,A319-132,565,7,0.012237762237762238,262,0.46371681415929206,11.263716814159292
1998,BOEING,737-3Y0,584,18,0.029900332225913623,215,0.3681506849315068,10.417808219178083
1998,BOEING,737-824,3786,0,0.0,1801,0.4756999471737982,10.830163761225569
1998,BOEING,757-222,116191,40,3.4414226841376227E-4,66375,0.5712576705596819,9.106135587093664
1998,BOEING,757-231,2056,1,4.861448711716091E-4,739,0.35943579766536965,9.361867704280156
1998,BOEING,767-3P6,1129,22,0.019113814074717638,702,0.6217891939769707,9.636846767050487
1998,CESSNA,172M,2004,0,0.0,828,0.41317365269461076,5.810878243512974
1998,CESSNA,210-5(205),1335,0,0.0,467,0.349812734082397,4.4456928838951315
1998,CESSNA,T210N,1306,0,0.0,521,0.3989280245022971,6.457886676875957
1998,DOUGLAS,DC-9-32,4283,165,0.03709532374100719,1582,0.3693672659350922,9.545412094326407
1998,DOUGLAS,DC-9-41,6192,182,0.028553498588013804,2323,0.37516149870801035,8.137112403100776
1998,LEBLANC GLENN T,FALCON XP,1332,0,0.0,519,0.38963963963963966,6.736486486486487
1998,MARZ BARRY,KITFOX IV,1335,0,0.0,480,0.3595505617977528,5.990262172284644
1998,PAIR MIKE E,FALCON XP,142,0,0.0,61,0.4295774647887324,10.408450704225352
1998,PIPER,PA-28-180,1294,0,0.0,489,0.37789799072642966,7.120556414219474
1998,RAVEN,S55A,2824,0,0.0,1085,0.38420679886685555,5.991501416430595
2006,AEROSPATIALE,AS 355F1,545,0,0.0,185,0.3394495412844037,6.045871559633028
2006,AIRBUS,A319-131,6604,5,7.565441065214102E-4,2311,0.3499394306480921,10.543004239854634
2006,AIRBUS,A320-232,122879,123,9.99983740101787E-4,52111,0.4240838548490792,9.681214853636504
2006,AIRBUS INDUSTRIE,A319-112,47384,37,7.802450391176905E-4,16939,0.35748353874725647,5.087118014519669
2006,AIRBUS INDUSTRIE,A320-231,22061,239,0.010717488789237669,10884,0.4933593218802412,9.676941208467431
2006,AVIAT AIRCRAFT INC,A-1B,485,0,0.0,183,0.37731958762886597,10.367010309278351
2006,BOEING,717-200,226319,1599,0.00701568107828254,76852,0.33957378744162003,7.854660898996549
2006,BOEING,737-282,3539,8,0.002255427121511136,756,0.2136196665724781,-1.0457756428369596
2006,BOEING,737-2Y5,1770,3,0.001692047377326565,326,0.18418079096045198,-1.9033898305084747
2006,BOEING,737-3A4,10016,0,0.0,4943,0.4935103833865815,11.671126198083067
2006,BOEING,737-4S3,1395,19,0.013437057991513438,718,0.5146953405017921,17.11111111111111
2006,BOEING,737-7Q8,717,8,0.011034482758620689,213,0.29707112970711297,5.0697350069735005
2006,BOEING,737-8FH,1192,2,0.0016750418760469012,579,0.48573825503355705,11.081375838926174
2006,BOEING,737-990,13632,72,0.005253940455341506,6655,0.4881895539906103,10.803917253521126
2006,BOEING,757-26D,1058,5,0.004703668861712135,466,0.44045368620037806,7.141776937618148
2006,BOEING,767-201,461,0,0.0,292,0.6334056399132321,13.11062906724512
2006,BOEING,767-2B7,381,0,0.0,253,0.6640419947506562,17.22047244094488
2006,BOEING,767-324,14,1,0.06666666666666667,7,0.5,8.142857142857142
2006,BOEING,777-224,18,0,0.0,17,0.9444444444444444,20.22222222222222
2006,BOMBARDIER INC,CL-600-2B19,585426,7164,0.012089302890700147,219000,0.3740865626056923,11.043897947819195
2006,CESSNA,172E,259,0,0.0,114,0.44015444015444016,12.034749034749035
2006,CESSNA,182P,1368,0,0.0,523,0.3823099415204678,9.570175438596491
2006,DOUGLAS,DC-7BF,293,0,0.0,107,0.3651877133105802,8.672354948805461
2006,EMBRAER,EMB-120,15997,0,0.0,5520,0.34506469963118086,6.314558979808714
2006,EMBRAER,EMB-145EP,47370,0,0.0,17757,0.3748575047498417,10.847287312645134
2006,EMBRAER,ERJ 190-100 IGW,26689,3,1.1239322643488685E-4,11129,0.41698827232193036,15.722882086252763
2006,FRIEDEMANN JON,VANS AIRCRAFT RV6,1332,0,0.0,499,0.37462462462462465,10.756756756756756
2006,GULFSTREAM AEROSPACE,G-IV,507,0,0.0,170,0.33530571992110453,7.566074950690335
2006,MCDONNELL DOUGLAS,DC-9-32,16567,303,0.01796087729697688,4733,0.2856884167320577,5.52254481801171
2006,MCDONNELL DOUGLAS,DC-9-41,10064,201,0.019581100828056502,3343,0.33217408585055647,6.8082273449920505
